variable,label,question,valid_range,missing_codes,years_available,has_notes,n_value_labels
VCF0381c,1952-1968 Mention 1: Dislike About Democratic Party,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",,9987;9988;9989,"1952, 1956, 1958, 1960, 1964, 1968",Yes,3
VCF0381d,1952-1968 Mention 1: Dislike About Democratic Party COLLAPSED,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",1-10,87;89,"1952, 1956, 1958, 1960, 1964, 1968",Yes,12
VCF0382a,1972-2004 Mention 2: Dislike About Democratic Party,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",,,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,0
VCF0382b,1972-2004 Mention 2: Dislike About Democratic Party COLLAPSED,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",11-50,,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,13
VCF0382c,1952-1968 Mention 2: Dislike About Democratic Party,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,0
VCF0382d,1952-1968 Mention 2: Dislike About Democratic Party COLLAPSED,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",1-10,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,10
VCF0383a,1972-2004 Mention 3: Dislike About Democratic Party,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",,,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,0
VCF0383b,1972-2004 Mention 3: Dislike About Democratic Party COLLAPSED,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",11-50,,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,13
VCF0383c,1952-1968 Mention 3: Dislike About Democratic Party,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,0
VCF0383d,1952-1968 Mention 3: Dislike About Democratic Party COLLAPSED,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",1-10,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,10
VCF0384a,1972-2004 Mention 4: Dislike About Democratic Party,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",,,"1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,0
VCF0384b,1972-2004 Mention 4: Dislike About Democratic Party COLLAPSED,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",11-50,,"1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,13
VCF0384c,1952-1968 Mention 4: Dislike About Democratic Party,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,0
VCF0384d,1952-1968 Mention 4: Dislike About Democratic Party COLLAPSED,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",1-10,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,10
VCF0385a,1972-2004 Mention 5: Dislike About Democratic Party,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",,,"1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,0
VCF0385b,1972-2004 Mention 5: Dislike About Democratic Party COLLAPSED,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",11-50,,"1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,13
VCF0385c,1952-1968 Mention 5: Dislike About Democratic Party,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,0
VCF0385d,1952-1968 Mention 5: Dislike About Democratic Party COLLAPSED,"Is there anything in particular that you don’t like about the
Democratic
party?
What is that? Anything else [you don’t l",1-10,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,10
VCF0386,Likes Anything about Republican party,"Is there anything in particular that you like about the
Republican
party?",1-5,8;9,"1952, 1956, 1958, 1960, 1964, 1968, 1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0387a,1972-2004 Mention 1: Like About Republican Party,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",,8888;8889,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,2
VCF0387b,1972-2004 Mention 1: Like About Republican Party COLLAPSED,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",11-50,88;89,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,15
VCF0387c,1952-1968 Mention 1: Like About Republican Party,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",,9987;9988;9989,"1952, 1956, 1958, 1960, 1964, 1968",Yes,3
VCF0387d,1952-1968 Mention 1: Like About Republican Party COLLAPSED,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",1-10,87;89,"1952, 1956, 1958, 1960, 1964, 1968",Yes,12
VCF0388a,1972-2004 Mention 2: Like About Republican Party,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",,,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,0
VCF0388b,1972-2004 Mention 2: Like About Republican Party COLLAPSED,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",11-50,,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,13
VCF0388c,1952-1968 Mention 2: Like About Republican Party,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,0
VCF0388d,1952-1968 Mention 2: Like About Republican Party COLLAPSED,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",1-10,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,10
VCF0389a,1972-2004 Mention 3: Like About Republican Party,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",,,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,0
VCF0389b,1972-2004 Mention 3: Like About Republican Party COLLAPSED,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",11-50,,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,13
VCF0389c,1952-1968 Mention 3: Like About Republican Party,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,0
VCF0389d,1952-1968 Mention 3: Like About Republican Party COLLAPSED,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",1-10,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,10
VCF0390a,1972-2004 Mention 4: Like About Republican Party,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",,,"1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,0
VCF0390b,1972-2004 Mention 4: Like About Republican Party COLLAPSED,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",11-50,,"1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,13
VCF0390c,1952-1968 Mention 4: Like About Republican Party,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,0
VCF0390d,1952-1968 Mention 4: Like About Republican Party COLLAPSED,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",1-10,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,10
VCF0391a,1972-2004 Mention 5: Like About Republican Party,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",,,"1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,0
VCF0391b,1972-2004 Mention 5: Like About Republican Party COLLAPSED,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",11-50,,"1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,13
VCF0391c,1952-1968 Mention 5: Like About Republican Party,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,0
VCF0391d,1952-1968 Mention 5: Like About Republican Party COLLAPSED,"Is there anything in particular that you like about the
Republican
party?
What is that? Anything else [you like about th",1-10,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,10
VCF0392,Dislikes Anything about Republican party,"Is there anything in particular that you don’t like about the
Republican
party?",1-5,8;9,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0393a,1972-2004 Mention 1: Dislike About Republican Party,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",,8888;8889,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,2
VCF0393b,1972-2004 Mention 1: Dislike About Republican Party COLLAPSED,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",11-50,88;89,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,15
VCF0393c,1952-1968 Mention 1: Dislike About Republican Party,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",,9987;9988;9989,"1952, 1956, 1958, 1960, 1964, 1968",Yes,3
VCF0393d,1952-1968 Mention 1: Dislike About Republican Party COLLAPSED,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",1-10,87;89,"1952, 1956, 1958, 1960, 1964, 1968",Yes,12
VCF0394a,1972-2004 Mention 2: Dislike About Republican Party,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",,,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,0
VCF0394b,1972-2004 Mention 2: Dislike About Republican Party COLLAPSED,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",11-50,,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,13
VCF0394c,1952-1968 Mention 2: Dislike About Republican Party,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,0
VCF0394d,1952-1968 Mention 2: Dislike About Republican Party COLLAPSED,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",1-10,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,10
VCF0395a,1972-2004 Mention 3: Dislike About Republican Party,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",,,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,0
VCF0395b,1972-2004 Mention 3: Dislike About Republican Party COLLAPSED,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",11-50,,"1972, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,13
VCF0395c,1952-1968 Mention 3: Dislike About Republican Party,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,0
VCF0395d,1952-1968 Mention 3: Dislike About Republican Party COLLAPSED,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",1-10,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,10
VCF0396a,1972-2004 Mention 4: Dislike About Republican Party,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",,,"1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,0
VCF0396b,1972-2004 Mention 4: Dislike About Republican Party COLLAPSED,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",11-50,,"1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,13
VCF0396c,1952-1968 Mention 4: Dislike About Republican Party,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,0
VCF0396d,1952-1968 Mention 4: Dislike About Republican Party COLLAPSED,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",1-10,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,10
VCF0397a,1972-2004 Mention 5: Dislike About Republican Party,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",,,"1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,0
VCF0397b,1972-2004 Mention 5: Dislike About Republican Party COLLAPSED,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",11-40,,"1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004",Yes,13
VCF0397c,1952-1968 Mention 5: Dislike About Republican Party,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,0
VCF0397d,1952-1968 Mention 5: Dislike About Republican Party COLLAPSED,"Is there anything in particular that you don’t like about the
Republican
party?
What is that? Anything else [you don’t l",1-10,,"1952, 1956, 1958, 1960, 1964, 1968",Yes,10
VCF0401,Democratic Presidential Cand: Respondent Likes - Number of Mentions,"Now I’d like to ask you about the good and bad points of the
two
(1996 and later: ‘the major’) candidates for President.",0-5,9,"1952, 1956, 1960, 1964, 1968, 1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,7
VCF0402,Democratic Presidential Cand: Respondent Dislikes - Number of Mentions,"Is there anything in particular about [Democratic
presidential
candidate] that might make you want to vote against
him?
",0-5,9,"1952, 1956, 1960, 1964, 1968, 1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,7
VCF0403,Democratic Presidential Cand: Affect (Likes-Dislikes),Affect toward Democratic Presidential candidate,,99,,Yes,4
VCF0404,Democratic Presidential Cand: Salience (Likes-Dislikes),Salience of Democratic Presidential candidate,0-10,99,,Yes,3
VCF0405,Republican Presidential Cand: Respondent Likes - Number of Mentions,"Now I’d like to ask you about the good and bad points of the two
(1996
and later: the major) candidates for President.
I",0-5,9,"1952, 1956, 1960, 1964, 1968, 1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,7
VCF0406,Republican Presidential Cand: Respondent Dislikes - Number of Mentions,"Is there anything in particular about [Republican
presidential
candidate] that might make you want to vote against
him?
",0-5,9,"1952, 1956, 1960, 1964, 1968, 1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,7
VCF0407,Republican Presidential Cand: Affect (Likes-Dislikes),Affect toward Republican Presidential candidate,,99,,Yes,4
VCF0408,Republican Presidential Cand: Salience (Likes-Dislikes),Salience of Republican Presidential candidate,0-10,99,,Yes,3
VCF0409,Presidential Candidates: Affect (Likes-Dislikes),Net affect toward Major party Presidential candidates,,999,,Yes,4
VCF0410,Presidential Candidates: Salience (Likes-Dislikes),Major party Presidential candidate salience,0-20,99,,Yes,3
VCF0411,Presidential Candidates: Relative Salience (Likes-Dislikes),Major party relative salience of Presidential candidates,,999,,Yes,4
VCF0412,Thermometer Average - Presidential Candidates,Thermometers– both Major party Presidential candidates,,98;99,2020,Yes,2
VCF0413,Thermometer Index - Presidential Candidates,Major party Presidential candidate thermometer index,2-99,998;999,2020,Yes,5
VCF0414,Thermometer Average - Vice-Presidential Candidates,Thermometers– both Major party vice-Presidential candidates,,98;99,2020,Yes,2
VCF0415,Thermometer Index - Vice-Presidential Candidates,Major party vice-Presidential candidate thermometer index,2-99,998;999,2020,Yes,5
VCF0424,Thermometer - Democratic Presidential Candidate,Democratic Presidential candidate thermometer,0-97,98;99,"1968, 1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0425,Thermometer - Democratic Vice-presidential Candidate,Democratic vice-presidential candidate thermometer,0-97,98;99,"1968, 1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0426,Thermometer - Republican Presidential Candidate,Republican Presidential candidate thermometer,0-97,98;99,"1968, 1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0427,Thermometer - Republican Vice-presidential Candidate,Republican vice-presidential candidate thermometer,0-97,98;99,"1968, 1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,3
VCF0428,Thermometer - U.S. President,President thermometer,0-97,98;99,"1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2024",Yes,3
VCF0429,Thermometer - Vice-president,Vice-president thermometer,0-97,98;99,"1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2024",Yes,3
VCF0432,Thermometer - Hubert Humphrey,Hubert Humphrey – thermometer,0-97,98;99,"1968, 1970, 1972, 1974, 1976",Yes,3
VCF0433,Thermometer - Ted Kennedy,Ted Kennedy – thermometer,0-97,98;99,"1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1988",Yes,3
VCF0434,Thermometer - Eugene McCarthy,Eugene Mccarthy – thermometer,0-97,98;99,"1968, 1970, 1976",Yes,3
VCF0435,Thermometer - George McGovern,George Mcgovern – thermometer,0-97,98;99,"1970, 1972, 1976, 1980, 1984",Yes,3
VCF0436,Thermometer - Walter Mondale,Walter Mondale – thermometer,0-97,98;99,"1974, 1976, 1978, 1980, 1982, 1984",Yes,3
VCF0437,Thermometer - Edmund Muskie,Edmund Muskie – thermometer,0-97,98;99,"1968, 1970, 1972",Yes,3
VCF0438,Thermometer - George Bush Sr.,George Bush Sr. – thermometer,0-97,98;99,"1980, 1982, 1984, 1986, 1988, 1990, 1992, 2000",Yes,3
VCF0439,Thermometer - George Wallace,George Wallace – thermometer,0-97,98;99,"1968, 1970, 1972, 1974, 1976, 1978, 1980",Yes,3
VCF0440,Thermometer - Spiro Agnew,Spiro Agnew – thermometer,0-97,98;99,"1968, 1970, 1972",Yes,3
VCF0441,Thermometer - Gerald Ford,Gerald Ford – thermometer,0-97,98;99,"1974, 1976, 1978, 1980, 1984",Yes,3
VCF0442,Thermometer - Richard Nixon,Richard Nixon – thermometer,0-97,98;99,"1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984",Yes,3
VCF0443,Thermometer - Ronald Reagan,"(2004: And finally, in retrospect,) Ronald Reagan – thermometer",0-97,98;99,"1968, 1970, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 2004",Yes,3
VCF0444,Thermometer - Nelson Rockefeller,Nelson Rockefeller – thermometer,0-97,98;99,"1968, 1974, 1976",Yes,3
VCF0445,Thermometer - Robert Dole,Robert Dole – thermometer,0-97,98;99,"1976, 1984, 1986, 1988, 1994, 1996",Yes,3
VCF0446,Thermometer - Jimmy Carter,Jimmy Carter – thermometer,0-97,98;99,"1976, 1978, 1980, 1982, 1984, 1988",Yes,3
VCF0447,Thermometer - Bill Clinton,Bill Clinton – thermometer,0-97,98;99,"1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2016",Yes,3
VCF0448,Thermometer - Al Gore,Al Gore – thermometer,0-97,98;99,"1992, 1994, 1996, 1998, 2000, 2002",Yes,3
VCF0449,Thermometer - Ross Perot,Ross Perot – thermometer,0-97,98;99,"1992, 1994, 1996",Yes,3
VCF0450,Approve of President Performance,"Do you approve or disapprove of the way that [the president]
is
handling his/her job as President?",1-8,0,"1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0451,Strength Approve/Disapprove President Performance,"Do you approve or disapprove of the way that [the president]
is
handling his/her job as President?
Do you (approve/disap",1-8,0,"1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016, 2020, 2024",Yes,6
VCF0471,Thermometer - Hillary Clinton,Hillary Clinton – thermometer,0-97,98;99,"1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012, 2016",Yes,3
VCF0472,Thermometer - Pat Buchanan,Pat Buchanan – thermometer,0-97,98;99,"1992, 1996, 1998, 2000",Yes,3
VCF0473,Thermometer - Dan Quayle,Dan Quayle – thermometer,0-97,98;99,"1988, 1990, 1992, 1994, 1998",Yes,3
VCF0475,Likes Anything about Democratic Presidential Cand,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for him?",1-5,8;9,"1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
VCF0476a,1972-2004 Mention 1: Like About Democratic Presidential Cand,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",,8888;8889,"1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,2
VCF0476b,1972-2004 Mention 1: Like About Democratic Presidential Cand COLLAPSED,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",11-50,88;89,"1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,15
VCF0476c,1952-1968 Mention 1: Like About Democratic Presidential Cand,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",,9987;9988;9989,"1952, 1956, 1960, 1964, 1968",Yes,3
VCF0476d,1952-1968 Mention 1: Like About Democratic Presidential Cand COLLAPSED,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",21-30,87;89,"1952, 1956, 1960, 1964, 1968",Yes,12
VCF0477a,1972-2004 Mention 2: Like About Democratic Presidential Cand,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",,,"1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,0
VCF0477b,1972-2004 Mention 2: Like About Democratic Presidential Cand COLLAPSED,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",11-50,,"1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,13
VCF0477c,1952-1968 Mention 2: Like About Democratic Presidential Cand,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",,,"1952, 1956, 1960, 1964, 1968",Yes,0
VCF0477d,1952-1968 Mention 2: Like About Democratic Presidential Cand COLLAPSED,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",21-30,,"1952, 1956, 1960, 1964, 1968",Yes,10
VCF0478a,1972-2004 Mention 3: Like About Democratic Presidential Cand,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",,,"1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,0
VCF0478b,1972-2004 Mention 3: Like About Democratic Presidential Cand COLLAPSED,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",11-50,,"1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,13
VCF0478c,1952-1968 Mention 3: Like About Democratic Presidential Cand,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",,,"1952, 1956, 1960, 1964, 1968",Yes,0
VCF0478d,1952-1968 Mention 3: Like About Democratic Presidential Cand COLLAPSED,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",21-30,,"1952, 1956, 1960, 1964, 1968",Yes,10
VCF0479a,1972-2004 Mention 4: Like About Democratic Presidential Cand,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",,,"1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,0
VCF0479b,1972-2004 Mention 4: Like About Democratic Presidential Cand COLLAPSED,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",11-50,,"1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,13
VCF0479c,1952-1968 Mention 4: Like About Democratic Presidential Cand,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",,,"1952, 1956, 1960, 1964, 1968",Yes,0
VCF0479d,1952-1968 Mention 4: Like About Democratic Presidential Cand COLLAPSED,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",21-30,,"1952, 1956, 1960, 1964, 1968",Yes,10
VCF0480a,1972-2004 Mention 5: Like About Democratic Presidential Cand,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",,,"1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,0
VCF0480b,1972-2004 Mention 5: Like About Democratic Presidential Cand COLLAPSED,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",11-50,,"1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004",Yes,13
VCF0480c,1952-1968 Mention 5: Like About Democratic Presidential Cand,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",,,"1952, 1956, 1960, 1964, 1968",Yes,0
VCF0480d,1952-1968 Mention 5: Like About Democratic Presidential Cand COLLAPSED,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote for
him?
What",21-30,,"1952, 1956, 1960, 1964, 1968",Yes,10
VCF0481,Dislikes Anything about Democratic Presidential Cand,"Is there anything in particular about {DEMOCRATIC
PRESIDENTIAL
CANDIDATE} that might make you want to vote against him?",1-5,8;9,"1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004, 2008, 2012, 2016, 2020, 2024",Yes,4
